Supplier,21st Jun 2021,28th Jun 2021,5th Jul 2021,12th Jul 2021,19th Jul 2021,26th Jul 2021,2nd Aug 2021,9th Aug 2021,16th Aug 2021,23rd Aug 2021,30th Aug 2021,6th Sep 2021,13th Sep 2021,20th Sep 2021,27th Sep 2021,4th Oct 2021,11th Oct 2021,18th Oct 2021,25th Oct 2021,1st Nov 2021,8th Nov 2021,15th Nov 2021,22nd Nov 2021,29th Nov 2021,6th Dec 2021,13th Dec 2021,20th Dec 2021,27th Dec 2021,3rd Jan 2022,10th Jan 2022,17th Jan 2022,24th Jan 2022,31st Jan 2022,7th Feb 2022,14th Feb 2022,21st Feb 2022,28th Feb 2022,7th Mar 2022,14th Mar 2022,21st Mar 2022,28th Mar 2022,4th Apr 2022,11th Apr 2022,18th Apr 2022,25th Apr 2022,2nd May 2022,9th May 2022,16th May 2022,23rd May 2022,30th May 2022,6th Jun 2022,13th Jun 2022,20th Jun 2022,27th Jun 2022,4th Jul 2022,11th Jul 2022,18th Jul 2022,25th Jul 2022,1st Aug 2022,8th Aug 2022,15th Aug 2022,22nd Aug 2022,29th Aug 2022,5th Sep 2022,12th Sep 2022,19th Sep 2022,26th Sep 2022,3rd Oct 2022,10th Oct 2022,17th Oct 2022,24th Oct 2022,31st Oct 2022,7th Nov 2022,14th Nov 2022,21st Nov 2022,28th Nov 2022,5th Dec 2022,12th Dec 2022,19th Dec 2022,26th Dec 2022,2nd Jan 2023,9th Jan 2023,16th Jan 2023,23rd Jan 2023,30th Jan 2023,6th Feb 2023,13th Feb 2023,20th Feb 2023,27th Feb 2023,6th Mar 2023,13th Mar 2023,20th Mar 2023,27th Mar 2023,3rd Apr 2023,10th Apr 2023,17th Apr 2023,24th Apr 2023,1st May 2023,8th May 2023,15th May 2023,22nd May 2023,29th May 2023,5th Jun 2023,12th Jun 2023,19th Jun 2023,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
My Naked Bar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,100,214,310.06,101,158.8,361.75,357,1018.5,409.95,232.80706,179,67.5,130.18478,187,117,180.5,431,169.8,307.5,281.85,133.25,182.5,209.3,435,229.8,311.6,250.56384,255,366,223,410,354,458,401.8,55,9785.01568,0,9785.01568,1,0
Greek-Kouzina,112,168.4,139,314,208.2,154.8,36,75.6,137.1,95.17623,111.2,232.2,57.1,24,117.9,0,179.2,61.7,73,204.3,504.04,106,170,296.65,247.88,306,321,272.6,131.6,153,48,72.56,42,132,144.7,151,0,52,65.5,166,133,119,130.9,56.95,158,196,144,220,117.6,52,56,42,36,15,107,28,66.02,74.6,130,166,0,49,86.5,15,15,41.5,42,77.1,0,15,38,122,144.3,102,25.2,37,26,251,107,50.1,87.6,0,0,0,25.2,0,0,0,0,66.3,0,36,0,0,22.5,19.7,0,0,0,0,0,0,0,0,0,9432.47623,0,9432.47623,1,0
Bunny Planet,14.8,0,0,101.2,14.8,14.8,17.8,27.54,58.52,31.14,7.3,0,17.8,53,13.32,52.45,85.79,37.3,64,256.725,81.666,123.95,138.7,145.29,172.648,223.3,1285.684,101.6,186.4,5.475,77.7,22.2,135.25,82.1,126.35,0,14.8,31.5,61.2,51.25,81.52,42,148,0,42.6,52.8,35.65,7.3,90.2,65,31.6,7.3,52.3,29.6,275.8,217.7,55.58,94.3,19.71,0,94.1,128.7,250.9,77.2,0,69.6,66.1,20.44,44,37.6,14.6,96.5,148.72,163,92.57,330.045,208.195,399.17,633.15,131.9,21.9,118.3,59.8,109.37938,0,0,73.4,46.8,79.35,72.42,0,0,7.3,37.6,45,29.6,0,45.1,38.8,0,7.3,111.44,28,74.52501,0,9296.81239,0,9296.81239,1,0
Old East Indies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,98,147,294,98,83.3,294,196,49,0,98,0,0,181.3,0,49,0,286,123.1,177,362.7,49,49,147,139.65,0,44.1,0,128,443.5,0,49,123.1,0,334.18,245,0,0,147,263,98,151.1,49,93.1,49,278,49,98,373,205,151.1,624.75,196,226,49,81,268.5,203,132,323,201,0,106,8,294,111.8,68.665,9233.945,0,9233.945,1,0
Looasia Pte Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,492.73,239.1,212.1,429,420.1,548.4,771.07,255.1,115.5,144.5,81.5,133.5,20,117,171.3,321.04,529.5,423.725,50.5,208.05,33.85,424,195.6,181.75,59.5,209.2,71.5,92.3,187.2,64,605,343.8,368.2,8519.615,0,8519.615,1,0
Jezzroom,435.4,260,324,281,173,272.3,179.6,246.2,145.4,419.8,131.4,426,267.2,135.3,138,109.1,256.5,138.1,250.7,410.4,113.9,147.4,119,576.85,424.28,1097.9,537,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8268.6715,0,8268.6715,1,0
Altereco,0,0,0,0,0,0,0,0,0,0,0,0,64.1,15,21,113.8,94.6,0,18,83.3,83.68,202.3,85.3,77.8748,138.091,185.875,210.35,136.65,51,66,27.1,48.28801,43,63,16,145,111.50001,140.5,92.25,131,94,127.5,141,129.00002,138,255,65.525,92.7,125,149.4,45,101.45,186.5,89.00001,65,28,113,189.1,151,186.5,83,45,155.9,152.4,156.75,98.3,94.82,243.89,101.31002,58.25,194.25,161.75,137.5,83.76,93.65,116.775,324.4,293.76502,379.79002,115.35001,30.75,7,0,0,0,0,0,0,0,0,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,0,8089.79392,0,8089.7939,1,0
Breeze For You,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.6,118,186.1,199,201,174,25,160.22,9,147,0,89.5,69.55,22,101.65,49,40,0,0,89.15,50,137,111,88,60,78,49,11,167,60,49,11,224,49,107.9,22,164.7,133.1,0,112.1,88,44.1,74,215.5,0,98,89,44.1,76.52,75.1,98,235,117,100.9,303.1,169,60,68,49,22,202.1,169,49,82,137,107.2,181,26.1,124.1,80,39,68,109,137,171,50,231,166,49,64.1,99,7879.49,0,7879.49,1,0
The Eco-Statement,120.5,127.35,160.6,206.9,49.5,10.5,9,68.95,216.95,220.755,150.605,91.8,250.46,108.9,181.85,108.885,35.7,118.52,203.41,155.115,100.032,82.45,368.31,456.9275,316.33,200.3,489.15,67.65,205.8,169.25,116.9,89.75,160.86,114.3,133.85,92.2,169.06,109.11,140.46,59.4,89.5,53.1,83.7,0,68.8,0,0,0,0,0,0,0,0,0,5.9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,5,0,5.5,7.65,7,0,0,0,0,0,0,7.45,0,9.9,0,5.95,0,0,10,6612.6895,11,6601.6895,0.99834,0
kawah coffee,253.65,158.875,47.45,124.1,136.45,23,41.55,36.975,146.2,106.05,67.4,39.71,54.86,94.6,43,75.5,80.95,82.35,248.35,205.65,161.41,223.1,297.5,306.25,443.5,500.95,761.375,278,49,21.5,36,101.5,260.5,56,91.775,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5702.53,0,5702.53,1,0
Sacha Botanicals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.8,177.2,60.6,130.6,469.2,210,108,0,59.30305,116.38875,28,42,125,172,138,95.6,110,198.6,123,294.6,68,162.2,200.7,251.5,471.6,305.2,238,285,313.6,270.6,108,5474.2918,0,5474.2918,1,0
Skinnies,334.1045,157.336,17.091,129.97,46.98,116.973,42.282,255.916,0,226.449,66.476,82.572,142.065,95.271,95.257,51.081,98.37,44.988,101.376,84.172,106.77,52.782,197.952,142.764,243.54,67.782,191.946,140.358,121.77,78.576,55.176,62.382,191.352,143.964,74.376,100.17,63.582,107.469,194.747,91.975,192.45,259.42,176.948,69.98,0,0,9.495,23.994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5350.4495,3880.56324,1469.88626,0.27472,0
Quality Products Pte Ltd(UrbanComposter),0,217,87,43,98,0,13,165.1,13,0,37,62.1,117,0,79,0,92,0,303.2,0,0,281.2,69,69,150.48,148,104,237,13,69,79,0,22,138,217,0,79,104,24.7,259.55882,-18.4,0,170,158,82,0,50,199,256,13,0,69,66,96,0,84,71.1,0,11.7,6,0,23,0,0,0,12,0,0,0,0,0,0,0,0,69,0,62.1,0,4.00346,0,79,0,0,0,0,79,69,0,0,0,0,6,0,0,0,0,0,158,0,15,47.4,0,0,0,0,5327.24228,2070.65824,3256.58404,0.61131,0
Ikkikidz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,44.64444,307,213,328.5,245.5,250,273.19,261.3,626.1,129.5,573.1,289,179,391.1,600.5,94,80,0,129,119,45,45,5268.43444,0,5268.43444,1,0
British Eco-Luxury Lifestyle(Clean Conscience),108.8,59.7,44.7,89.7,74.7,89.01,35.91,75.51,69.6,59.82,164.02,105.03,95.61,59.4,23.22,0,0,0,78,99.21,97.542,19.8,80.94,87.375,251.76,392.4,109.5,69.6,18.8,59.7,0,55.836,9.9,0,18.81,69.3,9.9,108.9,8.91,54.55,41.7,22.85,104.9,77.4425,24.85,60.65,19.8,66.205,44.65,9.9,24.9,0,27.9,24.9,33.21,40.9,25.11,22.8,40.8,88.115,54.8,76,9.9,66.51,39.9,15,49.8,9.9,9.9,12.95,0,26.655,39.624,12.95,22.85,79.3,39.9,0,24.9,12.95,38.85,28.45,48.50923,134.7,43.7,30,83.005,39.9,84.9,36.4225,52.85,49.365,28.45,0,0,0,35.91,0,50.26,39.9,0,0,0,0,0,5086.00623,0,5086.00623,1,0
Sinfootech Pte Ltd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.5,200.8,258.3,320.25,302,75,30,90,68,218,122.3,233.32163,0,477.85,705.25,60,60,40.5,91,90,68,120,83,98,75,83,43.5,126.54,45,38,53,15,60,0,30,60,70.3,66.86364,68,0,0,0,0,0,0,0,30,0,15,15,15,0,45,15,30,15,0,0,25.5,30,5027.77527,2420,2607.77527,0.51867,0
Kildi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,119.1,186.1,211,175.92,288,152,189,56,25,109,48.38,22.5,31,90,100,6,177,0,118,50,84,142,42.1,209,61,65,71,50,118,90,6,59,6,18,12,6,6,37,84,12,50,77.25,25,6,31,59,28.5,50,56,0,31,44.5,25,50,75,0,50,25,25,0,0,23.6413,0,0,0,0,0,25,0,0,50,0,0,22.5,50,0,0,50,50,25,25,50,25,25,4672.4913,0,4672.4913,1,0
Kiwi Handmade,312.2,150,129.11,124.31,104.4,92.22,95.21,133.83,116.22,173.45,0,48.6,10,97.51,6.5,47.61,50.41,118.217,131.14,20.9,72.952,30.6,253.4,119.615,129.692,194.14,218.91,109.41,68,124.6,30.6,50.056,0,48.9,38.9,56.9,0,0,0,51.91,137.9,0,72.8,10,0,5,0,0,45,0,0,19.9,0,0,0,0,34.51208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,30,93,59,40,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13.5,10,0,53.9,0,0,0,0,0,0,0,4239.93408,0,4239.93408,1,0
Twopluso,82,33,31,0,0,0,0,0,0,0,28.8,56.92,0,0,0,0,0,0,0,0,37,0,0,35,95,55,90,155,0,82,109,0,58.2,170.8,0,92,122.90072,0,0,83.8,0,55,28.8,102.85,35,139,125,0,55,0,171.8,28.8,0,0,92,0,0,29,55,33.3,29,100,0,28.8,0,0,62,33.3,31,112.6,97,38,52.26,31,93,145,0,37,55,55,64,62.1,0,78.35556,55,0,0,0,0,0,0,0,31,0,62.92,0,31,55,61.8,172.8,0,37,38,31,35,4182.90628,0,4182.90628,1,0
Truth&All,297,0,0,152,288.8,0,0,0,130.5,0,152,136.8,130.5,130.5,0,0,130.5,136.8,0,228,108.75,494,746,304,145,297,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4153.15,0,4153.15,1,0
Sosu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.457,162.8,307.2,224,84,214,271,195.5,150,98.8,186.6,42,612.2,180.6,58.6,166,298.2,205,154,114,63,164.3,56,4125.257,0,4125.257,1,0
Bakening,15.8,0,31.6,38.315,101.515,30.415,53.72,73.075,23.7,0,69.915,23.7,70.31,30.81,7.11,15.01,15.8,22.12,35.55,7.9,76.472,46.61,15.8,62.805,68.414,118.5,134.3,0,39.5,15.8,15.8,23.7,7.9,31.6,7.11,38.71,63.2,15.01,30.81,85.32,36.34,129.92,127.19,48.55,23.7,7.9,63.2,94.01,27.615,63.2,7.9,71.1,15.8,71.1,0,0,99.54,0,63.99,36.34,85.32,22.91,31.6,35.945,0,47.4,23.7,13.43,15.01,55.3,31.6,23.7,118.026,15.8,15.8,7.9,122.45,61.62,63.2,30.81,22.91,15.8,15.8,21.84337,7.9,15.8,23.7,55.3,55.3,41.08,82.16,29.625,23.7,7.9,0,7.9,79,70.31,30.415,0,7.9,7.9,15.8,0,0,4010.68537,3257.64229,753.04308,0.18776,0
C2+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.99,136.86771,0,63.04,47.04,38.285,0,35.22,0,35.22,95.41,26.32,105.3,92.4,28.8,43.22,34.8,10.32,149.01,130.872,243.938,220.002,212.288,89.28,85.14,23.22,133.24,82.44,102.28,54.18,48.51,68.7,81.12,65.76,11.124,66.44,10.32,99.58,124.62,69.652,83.85,24.9,62.14,15.9,0,0,32.9,42.9,19.92,0,0,0,0,0,0,0,52.64,0,49.09762,0,19.92,42.9,0,32.9,0,0,0,3536.91633,51,3485.91633,0.98558,0
The Powder Shampoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.7,292.21,124.5,99.5,29.8,398.6,154.6,14.9,79.7,194.6,14.9,74.5,131.32,54.8,29.8,211.12,108.11,216.22,92.465,54.8,116.52,13.41,200.31,74.03,47.21,35.91,68.79422,69.7,42.744,69.7,58.11,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307.48322,0,3307.48322,1,0
TORAJAMELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.8,82.9,25,315,13.5,166,0,22,0,0,30,107,95.7,20,59,22,60,204,10,0,39.75,0,30,87,0,10,23,0,88,66,46,45,209,92.4,10,0,0,22.5,0,27,14.4,0,10,54,23,27,0,0,0,37,64,33,44,52,0,11,0,0,0,31,18,27,60,0,33,77,0,0,0,0,47,47,0,47,0,94,0,0,12,0,0,0,3018.95,0,3018.95,1,0
CRUST Group,23.225,44.2,16,0,0,8.5,61.95,7.225,63.325,0,62.7,0,7.225,15.15,0,8.5,8.5,0,8.5,41.65,0,29.175,6.75,7.225,29,22,205.5,45,8.5,46.725,71,88.15,8.5,0,22.5,0,65.85,14.4,13.5,36.4,17,7.5,66,0,0,16.5,43.475,23.5,45.875,0,5.85,18.85,0,0,42.8,13,13.4,20.3,400.07,301.20898,208.7,174.6,84.54,0,33.3,21.9,105.66,26.46,0,0,15,0,5.07,15,15,5.85,33.3,0,0,0,0,0,22.44,0,42.5,0,0,0,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2960.97398,3715.33253,-754.35855,-0.25477,0
Studio BTY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,563.5,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.4,234,0,130,360.5,377,110.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2921.9,0,2921.9,1,0
Faiz Pte Ltd,32.75,36.3625,17.5125,18.175,38.6075,23.375,45.43,20.9825,5.225,8.8825,19.9375,7.425,7.425,32.3525,24.75,2.3375,22.6875,32.07,49.2975,17.1875,154.167,7.0125,5.0875,9.35,2.42,7.425,82.46,12.65,5.5,24.475,2.227,11.935,10.45,7.7,33.775,15.125,24.265,2.75,7.7,31.025,33.775,5.5,10.5875,38.775,10.175,18.1,7.425,10.175,38.0875,11,9.7625,33,5.0875,7.8375,10.175,20.625,7.0125,7.425,20.625,20.35,7.8375,2.75,5.5,8.25,10.175,24.52313,18.8375,4.95,13.9075,2.3375,7.975,9.7625,0,10.5875,11.1575,45.11,39.015,2.3375,2.3375,2.3375,5.5,50.3325,62.25607,22.6875,11.866,17.6,10.5875,2.75,11,56.5975,12.7875,4.8125,2.3375,46.885,175.95,57.995,91.035,90.255,72.11,111.43,174.53,141.28,44.84,62.8,91,2906.6842,1080.64368,1826.0405,0.62822,0
The Sustainability Project,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.7,264.08,157.6,124,403.5,609.22,329,446.8,152.7,33,0,30.4,67,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2777,0,2777,1,0
Reuuse,151.24,18.9,0,19.9,0,19.9,18.9,19.9,19.9,19.9,0,17.91,71.64,0,37.81,0,0,0,59.7,19.9,0,19.9,0,16.915,92.336,79.6,0,79.6,59.7,39.8,57.71,72.436,0,37.81,0,19.9,39.8,79.6,35.82,179.1,19.9,0,79.6,190.045,39.8,79.6,0,0,59.7,95.52,79.6,37.81,0,79.6,79.6,0,97.51,37.81,19.9,19.9,0,0,39.8,19.9,0,19.9,0,0,35.82,19.9,0,0,0,0,0,34.029,0,0,0,0,0,19.9,0,19.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2630.571,1740.8,889.771,0.33824,0
SimplyGood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.97,14.97,4.99,9.98,9.481,4.99,0,4.99,33.932,14.97,9.98,19.96,28.942,31.936,24.451,14.97,33.433,4.99,12.7245,14.7205,14.97,34.93,0,0,0,0,4.99,0,14.97,0,0,24.95,9.98,14.97,159.68,14.471,14.97,0,8.982,39.421,39.421,0,8.982,0,11.65,188.544,109.085,36.1588,150.12,10,4.491,72.288,146.056,68.95,157.94,6.66,53.761,44.95,69.40983,18.66114,23.32,11.65,19.98,12.654,32.93,6.66,31.63,45.31,12.654,29.94,4.99,78.95,16.64,0,148.32,54.93,22.302,9.98,0,9.98,2436.61177,1497.99673,938.61502,0.38521,0
Mei's Own,0,0,0,0,49.8,37.81,163.82,107.1,0,0,166.9,109.6,76.71,67.81,39.8,80.1,127.61,130.81,0,19.9,23.322,119.7,0,50.83,206.212,89.7,79.8,19.9,99.6,29.9,49.9,73.472,0,0,89,0,0,39.8,80.1,0,39.8,29.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2298.706,0,2298.706,1,0
PetCubes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7,133.05,141.3,24.85,0,23.2,16.23462,12,99.4,48.465,23.2,8.85,31.8,26.55,18,62.5,109.8006,82.3675,24,28.5,95.8,17.05,9.36,100.1,78.04,18.8,0,48.8,12,21.7,0,15.3,11.7,0,25.45,23.15,0,66,0,33.83,45.8,30,35.2,41.45,41.2,61,89.85,42.4,95.3,12,28.2,60,47.2,106,0,2264.44772,1184.04,1080.40772,0.47712,0
Confetti,31,43.875,30,30,0,22.5,44.125,36.9,16.19565,0,54.225,16,53.5,16,13.5,7.225,21.375,8.5,23.8,0,31.25,31.25,6.75,68.425,77.98,92,70.5,38.5,55.5,23.65,17,65.27,22.5,7.65,39.5,48,47,30.55,51.45,27,0,23.5,23.5,49.575,7.5,38.5,31,32,21.1,23.5,1,42.5,15,36.75,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.4,93,51,44.9,0,61,23.5,44.325,7.5,13.5,0,28.875,0,12.75,0,0,6.375,0,0,0,0,6.375,6,7.5,0,7.5,0,0,0,2188.87065,1608.6,580.27065,0.2651,0
